vote_account,operator

# Binance
3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g,Binance
8UHnwrLihP4q1fZjAYGCZdGgtAkCaFiDLXa33r7niRjD,Binance

# Bitwise
8GbwASqdpw4dVcwbWUxbHXMrjyQx2aKkoBR5H1GJF8iD,Bitwise
AuGwcQWqWuNbnrkgERSp8VN6kZeJiM4AZuLMrwbkzg9m,Bitwise
Chorus6Kis8tFHA7AowrPMcRJk3LbApHTYpgSNXzY5KE,Bitwise
CpfvLiiPALdzZTP3fUrALg2TXwEDSAknRh1sn5JCt9Sr,Bitwise
EogKVYgic8LKAuV1kR9nRqJaS5zpwCvSMfqoehzmAMpK,Bitwise

# Coinbase
3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj,Coinbase
G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY,Coinbase
EcEowA4GKDsdVBF9PNAZa6c9M4WgYG8y4GnpZSUaqioS,Coinbase
AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX,Coinbase
HkFuE9NJahP7uA8RooXtp64UQb7XNUMVisWsJTgx3far,Coinbase
H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst,Coinbase
9jToNMWCLW1GeoLGPZNvEfuXE4AUwiRsrC1HMGmh3PTu,Coinbase
AaVsZUEnrHUZoXC2oVgTY3GF5GGhzCTBGrjpBtuUWy1H,Coinbase
6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9,Coinbase
GqcuMuWq4gKeCuCrD8iAjXTozCET2EP6qJXmZDFsSTWK,Coinbase
ERut3CwqVeoa616QBaoHc5jL52RpkXjZZZ7MeaMaCtLi,Coinbase
8tjRQLzor4dP4qd1e7pVDdQmsdwdVv4kSeCVEHwWEiQW,Coinbase
C89gGyN6Q4N47bg5kZWGYVc3P1x3rYaHbpG3EjSLeEx3,Coinbase
beefKGBWeSpHzYBHZXwp5So7wdQGX6mu4ZHCsH3uTar,Coinbase
EeitHdhXPu3pYMb5oPHvLjkaKQMUPzdNnxvrXc3EEHxj,Coinbase
7kqphS3JdqYsp4kGvLZAi4siKRZFiU4qBrKZfkGdht4N,Coinbase
9J7aJMntadsYJP7ZAyXgpRsXqrZQfRMob3pfkiB4sv8a,Coinbase
6TBdCtZjNYRoh97hJ3RHN992nwzC4oaj74hMnbnrJsE8,Coinbase
DyjoG2US2XiVvL1MVzL2wjS5jCTmvo6aNwvqJfaPNx9u,Coinbase
HZDt9b6AVva1cgbuHBRKQczfA5FGGwLh4a6wLRM6FSvT,Coinbase
ARf5F66NrsQDQY4cmSCwyQJrYKhsiydgmeDNiHEWEmKT,Coinbase
9YQXaP6VyiZepa1CCjGzBDZ1DZQ9rBSCfhKr5DLkUStz,Coinbase
HjiwKP8UAYigpUJyKeBEWfKWvaRgKw9fZQRcSLzdhP2w,Coinbase
HwYTVzrz6oB5exDihSKaoYAMaicZ1nLv859AS71C16W7,Coinbase
8nshUCt7FvxGRphfmiqAr9wdkRMrktfuS7YMhaaP3oUV,Coinbase

# Everstake
9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF,Everstake

# Figment
CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1,Figment
